x_position/Potential,0,1,2,3,4,
0.458918,0.065595,0.069325,0.065909,0.063505,0.066814,
0.460922,0.065772,0.069343,0.065953,0.063640,0.066911,
0.462926,0.065945,0.069355,0.065992,0.063772,0.067003,
0.464930,0.066114,0.069361,0.066026,0.063901,0.067091,
0.466934,0.066279,0.069362,0.066055,0.064028,0.067174,
0.468938,0.066441,0.069356,0.066080,0.064153,0.067253,
0.470942,0.066599,0.069345,0.066100,0.064274,0.067327,
0.472946,0.066752,0.069328,0.066114,0.064393,0.067396,
0.474950,0.066901,0.069305,0.066124,0.064509,0.067460,
0.476954,0.067047,0.069277,0.066129,0.064622,0.067520,
0.478958,0.067188,0.069243,0.066130,0.064732,0.067575,
0.480962,0.067324,0.069203,0.066125,0.064838,0.067624,
0.482966,0.067457,0.069158,0.066115,0.064942,0.067668,
0.484970,0.067584,0.069107,0.066101,0.065042,0.067708,
0.486974,0.067708,0.069050,0.066082,0.065139,0.067741,
0.488978,0.067827,0.068989,0.066058,0.065233,0.067770,
0.490982,0.067941,0.068921,0.066029,0.065323,0.067793,
0.492986,0.068050,0.068849,0.065996,0.065410,0.067810,
0.494990,0.068155,0.068771,0.065958,0.065493,0.067822,
0.496994,0.068255,0.068688,0.065915,0.065572,0.067828,
0.498998,0.068351,0.068600,0.065868,0.065647,0.067828,
0.501002,0.068441,0.068506,0.065817,0.065719,0.067822,
0.503006,0.068526,0.068408,0.065761,0.065787,0.067811,
0.505010,0.068607,0.068304,0.065701,0.065851,0.067793,
0.507014,0.068682,0.068196,0.065636,0.065910,0.067770,
0.509018,0.068752,0.068083,0.065568,0.065966,0.067741,
0.511022,0.068818,0.067965,0.065496,0.066017,0.067706,
0.513026,0.068878,0.067842,0.065419,0.066064,0.067665,
0.515030,0.068932,0.067715,0.065339,0.066107,0.067618,
0.517034,0.068982,0.067583,0.065255,0.066146,0.067565,
0.519038,0.069026,0.067446,0.065167,0.066180,0.067506,
0.521042,0.069064,0.067306,0.065076,0.066209,0.067441,
0.523046,0.069098,0.067160,0.064982,0.066235,0.067370,
0.525050,0.069125,0.067011,0.064884,0.066255,0.067294,
0.527054,0.069148,0.066857,0.064782,0.066271,0.067211,
0.529058,0.069164,0.066699,0.064678,0.066283,0.067123,
0.531062,0.069176,0.066537,0.064570,0.066289,0.067030,
0.533066,0.069181,0.066371,0.064459,0.066291,0.066931,
0.535070,0.069181,0.066202,0.064345,0.066289,0.066826,
0.537074,0.069175,0.066028,0.064229,0.066282,0.066716,
0.539078,0.069163,0.065850,0.064110,0.066270,0.066601,
0.541082,0.069146,0.065669,0.063987,0.066253,0.066481,
0.543086,0.069123,0.065485,0.063863,0.066231,0.066356,
0.545090,0.069094,0.065296,0.063735,0.066205,0.066226,
0.547094,0.069059,0.065105,0.063605,0.066174,0.066091,
